model	condition	run	run_id	cost_usd	duration_sec	num_turns	permission_denials	total_cost_split	input_tokens	output_tokens	cache_read_tokens	cache_creation_tokens	response_words	response_chars	response_sections	response_code_blocks	response_has_learning	response_has_redis	response_has_br_create	response_mentions_debug	response_has_gt_language	diff_total_files	diff_files_created	diff_files_modified	diff_lines_added	diff_lines_removed	diff_chars_added	diff_chars_removed	diff_net_lines	diff_code_lines	diff_doc_lines	diff_cat_code_files	diff_cat_code_lines_added	diff_cat_docs_files	diff_cat_docs_lines_added	diff_cat_ops_files	diff_cat_ops_lines_added	diff_cat_test_files	diff_cat_test_lines_added	diff_cat_config_files	diff_cat_config_lines_added	diff_cat_scripts_files	diff_cat_scripts_lines_added	changed_runner	changed_runner_test	changed_debug_handler	changed_runbook	changed_architecture	changed_incident	num_files_changed	tests_pass	test_output_lines	hint_b1_mentions_redis	hint_b1_has_rationale	hint_b2_runbook_modified	hint_b3_mentions_debug	hint_b3_mentions_leak	hint_b3_br_create_count	hint_b4_has_learning	hint_ran_go_test	hint_go_test_passed	br_invocation_count	file_access_summary_lines	polis_files_accessed	accessed_outside_workspace	workspace_diff_lines	new_test_functions	B1	B2	B3	B4	total_score
sonnet	minimal	1	sonnet-minimal-1	0.7992795000000001		38	[]	0.7992795000000001	33	10473	644704	34390	156	1052	1	0	False	False	False	False	False	1	0	1	41	32	954	825	9	41	0	1	41	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	False	False	False	False	False	0	False	True	False	0	6	101	True	104	0	0	2	0	0	2
sonnet	minimal	2	sonnet-minimal-2	0.40891325000000006		22	[]	0.40891325000000006	19	6733	330624	12029	337	2271	5	0	False	True	False	False	False	2	0	2	30	16	1405	710	14	18	12	1	18	1	12	0	0	0	0	0	0	0	0	True	False	False	True	False	False	2	True	2	True	True	True	False	False	0	False	True	False	0	6	98	True	93	0	2	2	0	0	4
sonnet	minimal	3	sonnet-minimal-3	0.3699905		20	[]	0.3699905	15	7240	240006	11026	360	2390	5	0	True	True	False	False	False	1	0	1	64	37	1412	925	27	64	0	1	64	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	True	False	False	False	0	True	False	False	0	6	89	True	140	0	2	2	0	2	6
sonnet	conventional	1	sonnet-conventional-1	0.5775342499999999		20	[]	0.5775342499999999	17	10338	306461	26523	564	3664	8	6	True	True	True	True	False	1	0	1	60	38	1367	984	22	60	0	1	60	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	True	False	True	True	2	True	False	False	2	6	85	True	136	0	2	2	2	2	8
sonnet	conventional	2	sonnet-conventional-2	0.42554800000000004		19	[]	0.42554800000000004	15	8616	267771	12190	477	3196	6	0	True	True	True	True	False	2	0	2	83	45	2395	1376	38	72	11	1	72	1	11	0	0	0	0	0	0	0	0	True	False	False	True	False	False	2	True	2	True	True	True	True	True	1	True	False	False	1	6	87	True	173	0	2	2	2	2	8
sonnet	conventional	3	sonnet-conventional-3	0.48466725000000005		19	[]	0.48466725000000005	14	9689	277557	16575	622	4230	6	6	True	True	True	True	False	1	0	1	71	39	1810	949	32	71	0	1	71	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	False	False	True	True	3	True	True	False	3	6	94	True	147	0	2	2	2	2	8
sonnet	mythology-only	1	sonnet-mythology-only-1	0.501575		25	[]	0.501575	23	7738	440745	14022	302	1994	5	2	False	True	False	False	True	2	0	2	55	44	1767	1344	11	49	6	1	49	1	6	0	0	0	0	0	0	0	0	True	False	False	True	False	False	2	True	2										1	6	88	True	145	0	2	2	0	0	4
sonnet	mythology-only	2	sonnet-mythology-only-2	0.4490235000000001		17	[]	0.4490235000000001	13	8963	264492	14822	309	2139	4	0	False	True	False	False	False	2	0	2	72	42	2093	1285	30	65	7	1	65	1	7	0	0	0	0	0	0	0	0	True	False	False	True	False	False	2	True	2	True	True	True	False	True	0	False	False	False	0	6	94	True	162	0	2	2	0	0	4
sonnet	mythology-only	3	sonnet-mythology-only-3	0.40738125		19	[]	0.40738125	17	7185	293205	12971	290	2025	4	0	False	True	False	False	False	1	0	1	39	66	998	1579	-27	39	0	1	39	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	False	8	True	True	False	False	False	0	False	False	False	0	6	102	True	142	0	2	2	0	0	4
sonnet	mythology-withexamples	1	sonnet-mythology-withexamples-1	1.4494892500000003		29	[]	1.4494892500000003	25	28884	907291	43779	500	3252	6	0	True	True	False	False	False	2	0	2	91	9	3402	250	82	91	0	2	91	0	0	0	0	0	0	0	0	0	0	True	True	False	False	False	False	2	True	2	True	True	False	False	False	0	True	True	False	0	6	84	True	153	2	2	2	0	2	6
sonnet	mythology-withexamples	2	sonnet-mythology-withexamples-2	1.02537275		28	[]	1.02537275	23	19723	649028	33227	635	4114	6	0	True	True	False	False	True	3	0	3	86	11	3004	525	75	77	9	2	77	1	9	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	True	False	False	0	6	94	True	150	2	2	2	0	2	6
sonnet	mythology-withexamples	3	sonnet-mythology-withexamples-3	1.3365147499999999		26	[]	1.3365147499999999	23	29989	741162	34575	613	3884	7	0	True	True	False	False	False	3	0	3	261	95	7826	2848	166	234	27	2	234	1	27	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	True	False	False	0	6	95	True	446	2	2	2	0	2	6
opus	minimal	1	opus-minimal-1	0.8288102499999999		33	[]	0.8288102499999999	24	14307	537243	32383	282	2088	5	0	True	True	False	False	False	3	0	3	171	16	4907	825	155	163	8	2	163	1	8	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	True	False	False	0	6	90	True	262	4	2	2	0	1	5
opus	minimal	2	opus-minimal-2	0.584294		27	[]	0.584294	17	12414	338168	16764	318	2170	5	0	False	True	False	True	False	3	0	3	183	84	4842	2432	99	176	7	2	176	1	7	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	True	True	0	False	False	False	0	6	92	True	349	5	2	2	1	0	5
opus	minimal	3	opus-minimal-3	0.4867720000000001		27	[]	0.4867720000000001	17	9187	313674	16028	272	1833	6	0	False	True	False	False	False	3	0	3	80	12	2571	551	68	71	9	2	71	1	9	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	False	True	False	0	6	110	True	141	3	2	2	0	0	4
opus	conventional	1	opus-conventional-1	0.7053777499999999		30	[]	0.7053777499999999	21	13791	458383	21009	479	3337	8	0	True	True	False	False	False	3	0	3	124	15	3477	601	109	115	9	2	115	1	9	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	True	False	False	0	6	85	True	188	4	2	2	0	2	6
opus	conventional	2	opus-conventional-2	0.6707035		32	[]	0.6707035	21	12910	465322	18430	472	3172	7	0	True	True	False	True	False	3	0	3	105	11	3229	525	94	97	8	2	97	1	8	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	True	True	0	True	True	False	0	6	85	True	169	4	2	2	1	2	7
opus	conventional	3	opus-conventional-3	0.72005525		27	[]	0.72005525	17	15924	386353	20591	470	3112	8	0	True	True	False	True	False	2	0	2	21	17	719	630	4	15	6	1	15	1	6	0	0	0	0	0	0	0	0	True	False	False	True	False	False	2	True	2	True	True	True	True	True	0	True	False	False	0	6	90	True	84	0	2	2	1	2	7
opus	mythology-only	1	opus-mythology-only-1	0.6377347499999999		30	[]	0.6377347499999999	21	11513	458522	19287	247	1741	5	0	False	True	False	False	False	3	0	3	77	12	2644	551	65	68	9	2	68	1	9	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	False	False	False	0	6	105	True	138	2	2	2	0	0	4
opus	mythology-only	2	opus-mythology-only-2	1.0548557500000002		27	[]	1.0548557500000002	19	24384	533259	28565	344	2461	6	0	False	True	False	False	False	3	0	3	259	88	6829	2537	171	250	9	2	250	1	9	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	False	True	False	0	6	88	True	441	3	2	2	0	0	4
opus	mythology-only	3	opus-mythology-only-3	0.5742625		32	[]	0.5742625	22	9583	462555	16528	255	1753	4	0	False	True	False	False	False	3	0	3	90	20	2856	1000	70	83	7	2	83	1	7	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	False	True	False	0	6	86	True	173	1	2	2	0	0	4
opus	mythology-withexamples	1	opus-mythology-withexamples-1	0.7596080000000002		28	[]	0.7596080000000002	18	16039	430411	22934	391	2641	7	0	True	True	False	False	True	3	0	3	215	88	5633	2537	127	209	6	2	209	1	6	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	True	True	False	0	6	90	True	397	4	2	2	0	2	6
opus	mythology-withexamples	2	opus-mythology-withexamples-2	0.6574107500000002		30	[]	0.6574107500000002	20	12504	450034	19151	342	2276	7	0	True	True	False	False	False	3	0	3	81	12	2994	551	69	73	8	2	73	1	8	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	True	True	True	False	False	0	True	False	False	0	6	88	True	142	3	2	2	0	2	6
opus	mythology-withexamples	3	opus-mythology-withexamples-3	0.6894612499999999		29	[]	0.6894612499999999	20	13770	453635	18927	23	153	0	0	False	False	False	False	False	3	0	3	186	84	5297	2432	102	178	8	2	178	1	8	0	0	0	0	0	0	0	0	True	True	False	True	False	False	3	True	2	False	False	True	False	False	0	False	True	False	0	6	99	True	352	3	0	2	0	0	2
haiku	minimal	1	haiku-minimal-1	0.26588719999999993		41	[]	0.26588719999999993	572	21621	1004152	45436	260	2097	8	2	True	True	False	False	False	22	21	1	962	6	29356	245	956	17	59	1	17	1	59	0	0	0	0	0	0	0	0	True	False	False	False	False	False	22	True	2	True	True	False	False	False	0	True	True	False	0	6	85	True	0	0	2	2	0	1	5
haiku	minimal	2	haiku-minimal-2	0.15549305		36	[]	0.15549305	212	11726	676098	23233	365	2761	6	2	False	True	False	False	False	1	0	1	34	8	952	320	26	34	0	1	34	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	True	False	False	False	0	False	True	False	0	6	85	True	87	0	2	2	0	0	4
haiku	minimal	3	haiku-minimal-3	0.12515374999999998		32	[]	0.12515374999999998	198	8634	576070	19343	320	2350	5	2	False	True	False	False	False	1	0	1	27	3	614	121	24	27	0	1	27	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	True	False	False	False	0	False	True	False	0	6	85	True	74	0	2	2	0	0	4
haiku	conventional	1	haiku-conventional-1	0.103901		23	[]	0.103901	586	8861	375825	17142	695	5044	11	2	True	True	False	True	False	1	0	1	19	6	584	249	13	19	0	1	19	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	True	False	True	False	0	True	True	False	0	6	102	True	67	0	2	2	0	2	6
haiku	conventional	2	haiku-conventional-2	0.3565984499999999		61	[]	0.3565984499999999	373	24278	1735817	49003	623	4455	17	2	True	True	False	False	False	3	2	1	334	38	9871	939	296	70	264	1	70	2	264	0	0	0	0	0	0	0	0	True	False	False	False	False	False	3	True	2	True	True	True	False	False	0	True	True	False	0	6	88	True	418	0	2	2	0	2	6
haiku	conventional	3	haiku-conventional-3	0.15729905000000005		29	[]	0.15729905000000005	481	14878	553243	21683	440	3324	7	2	True	True	False	False	False	1	0	1	35	7	783	259	28	35	0	1	35	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	True	False	False	False	0	True	True	False	0	6	84	True	88	0	2	2	0	2	6
haiku	mythology-only	1	haiku-mythology-only-1	0.08515400000000001		24	[]	0.08515400000000001	142	5778	383945	14182	275	2088	6	2	False	True	False	False	False	1	0	1	14	5	623	235	9	14	0	1	14	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	True	False	False	False	0	False	True	False	0	6	85	True	59	0	2	2	0	0	4
haiku	mythology-only	2	haiku-mythology-only-2	0.15271479999999998		29	[]	0.15271479999999998	156	13305	558163	24174	243	1924	5	0	False	True	False	False	False	2	1	1	106	11	3649	377	95	44	62	1	44	1	62	0	0	0	0	0	0	0	0	True	False	False	False	False	False	2	True	2	True	True	False	False	False	0	False	True	False	0	6	87	True	169	0	2	2	0	0	4
haiku	mythology-only	3	haiku-mythology-only-3	0.1096453		23	[]	0.1096453	128	10134	375648	17026	265	1919	5	2	False	True	False	False	False	1	0	1	37	8	939	281	29	37	0	1	37	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	1	True	2	True	True	False	False	False	0	False	True	False	0	6	93	True	94	0	2	2	0	0	4
haiku	mythology-withexamples	1	haiku-mythology-withexamples-1	0.15105129999999997		22	[]	0.15105129999999997	121	15563	416378	25182	241	1969	6	2	False	True	False	False	False	2	1	1	79	6	3166	249	73	24	55	1	24	1	55	0	0	0	0	0	0	0	0	True	False	False	False	False	False	2	True	2	True	True	False	False	True	0	False	True	False	0	6	84	True	131	0	2	2	0	0	4
haiku	mythology-withexamples	2	haiku-mythology-withexamples-2	0.15902399999999997		35	[]	0.15902399999999997	184	13091	657150	22136	272	2072	4	2	False	True	False	False	False	2	1	1	115	5	4217	194	110	27	88	1	27	1	88	0	0	0	0	0	0	0	0	True	False	False	False	False	False	2	True	2	True	True	False	False	False	0	False	True	False	0	6	94	True	164	0	2	2	0	0	4
haiku	mythology-withexamples	3	haiku-mythology-withexamples-3	0.10494349999999998		23	[]	0.10494349999999998	128	9554	363530	16554	209	1562	3	2	False	True	False	False	False	2	1	1	120	37	2389	925	83	49	0	1	49	0	0	0	0	0	0	0	0	0	0	True	False	False	False	False	False	2	True	2	True	True	False	False	False	0	False	True	False	0	6	98	True	200	0	2	2	0	0	4
